nome_cs,competencia,ano_cmpt,mes_cmpt,cod_smsa,regional,n_esf,n_emulti,n_esb,n_medicos,n_mfc,pct_mfc,n_acs,ch_medica_total,cobertura_aps_pct,populacao_referencia,pop_total_censo,pct_idosos,pct_criancas,pct_sem_saneamento,renda_media,n_setores,pct_area_favela,data_competencia,n_esf_egestor,qt_capacidade_equipe,fonte_egestor,data_extracao_egestor,fonte_censo,data_extracao_censo,fonte_favelas,data_extracao_favelas,data_extracao_cnes,ivs_score,ivs_predominante,pct_baixo,pct_medio,pct_elevado,pct_muito_elevado
CENTRO DE SAUDE JARDIM GUANABARA,2310,2023,10,6260,NORTE,5,0,0,0,0,NA,0,0,90.18,2315560,15137,NA,NA,0.15,1.72,27,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.319,Médio,1.31,71.02,22.13,5.55
CENTRO DE SAUDE SAO GABRIEL - FABIO CORREA LIMA,2310,2023,10,4310,NORDESTE,6,0,0,0,0,NA,0,0,90.18,2315560,13981,NA,NA,0.05,1.71,33,3.59,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.2,Médio,0,79.97,20.03,0
CENTRO DE SAUDE SANTA LUCIA,2310,2023,10,2270,CENTRO-SUL,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,10193,NA,NA,0.2,2.19,21,39.98,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.063,Muito Elevado,24.03,0,21.59,54.38
CENTRO DE SAUDE SANTA CECILIA,2310,2023,10,1320,BARREIRO,8,0,0,0,0,NA,0,0,90.18,2315560,11658,NA,NA,0.02,1.9,25,11.05,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.849,Elevado,0,26.01,63.11,10.88
CENTRO DE SAUDE ITAMARATI,2310,2023,10,8220,PAMPULHA,3,0,0,0,0,NA,0,0,90.18,2315560,15510,NA,NA,0.7,1.45,37,0.18,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.283,Baixo,76.81,18.09,5.1,0
CENTRO DE SAUDE CONFISCO,2310,2023,10,8200,PAMPULHA,7,0,0,0,0,NA,0,0,90.18,2315560,11502,NA,NA,0.13,1.94,24,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.608,Elevado,0,39.2,60.8,0
CENTRO DE SAUDE AARAO REIS,2310,2023,10,6280,NORTE,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,11653,NA,NA,0.16,1.8,23,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.19,Médio,6.74,67.56,25.7,0
CENTRO DE SAUDE OURO PRETO,2310,2023,10,8250,PAMPULHA,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,23683,NA,NA,0.14,1.48,54,2.74,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.661,Baixo,57.89,22.91,14.44,4.76
CENTRO DE SAUDE PADRE TIAGO,2310,2023,10,8460,PAMPULHA,11,0,0,0,0,NA,0,0,90.18,2315560,13920,NA,NA,0.22,1.8,30,6.85,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.432,Médio,21.01,31.32,31.17,16.51
CENTRO DE SAUDE PEDREIRA PRADO LOPES,2310,2023,10,5320,NOROESTE,7,0,0,0,0,NA,0,0,90.18,2315560,8846,NA,NA,0.03,2.51,20,23.44,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.672,Médio,0,46.24,40.33,13.43
CENTRO DE SAUDE SAGRADA FAMILIA - MARCO ANTONIO DE MENEZES,2310,2023,10,3250,LESTE,6,0,0,0,0,NA,0,0,90.18,2315560,30101,NA,NA,0.45,1.51,69,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.209,Baixo,79.9,19.26,0.83,0
CENTRO DE SAUDE AMILCAR VIANA MARTINS,2310,2023,10,7400,OESTE,5,0,0,0,0,NA,0,0,90.18,2315560,12697,NA,NA,0.14,1.56,26,0.11,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.978,Médio,19.58,63.06,17.36,0
CENTRO DE SAUDE NAZARE,2310,2023,10,4330,NORDESTE,8,0,0,0,0,NA,0,0,90.18,2315560,14139,NA,NA,0.17,1.97,37,6.2,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.564,Elevado,0,45.2,53.22,1.58
CENTRO DE SAUDE CONJUNTO SANTA MARIA,2310,2023,10,2280,CENTRO-SUL,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,17134,NA,NA,0.45,1.59,40,2.13,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.239,Baixo,88.61,0,10.23,1.15
CENTRO DE SAUDE ALTO VERA CRUZ,2310,2023,10,3200,LESTE,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,11675,NA,NA,0.13,2.66,21,76.26,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.144,Elevado,0,5.95,73.68,20.36
CENTRO DE SAUDE HORTO,2310,2023,10,3220,LESTE,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,38193,NA,NA,0.14,1.41,103,1.74,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.134,Baixo,93.88,0.25,4.44,1.43
CENTRO DE SAUDE TAQUARIL,2310,2023,10,3300,LESTE,6,0,0,0,0,NA,0,0,90.18,2315560,14504,NA,NA,1.95,2.13,30,5.87,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.204,Muito Elevado,0.5,21.14,35.76,42.59
CENTRO DE SAUDE LISANDRA ANGELICA DAVID JUSTINO - TUNEL DE IBIRITE,2310,2023,10,1260,BARREIRO,5,0,0,0,0,NA,0,0,90.18,2315560,9054,NA,NA,0.15,1.71,19,1.61,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.222,Médio,5.89,72.27,15.57,6.27
CENTRO DE SAUDE SAO TOMAZ,2310,2023,10,6420,NORTE,6,0,0,0,0,NA,0,0,90.18,2315560,9871,NA,NA,0.03,1.85,26,18.34,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.31,Baixo,37.89,14.4,26.49,21.23
CENTRO DE SAUDE JARDIM FILADELFIA,2310,2023,10,5270,NOROESTE,5,0,0,0,0,NA,0,0,90.18,2315560,9862,NA,NA,0.06,2.13,20,11.6,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.203,Médio,9.2,61.33,29.47,0
CENTRO DE SAUDE SALGADO FILHO,2310,2023,10,7340,OESTE,7,0,0,0,0,NA,0,0,90.18,2315560,20439,NA,NA,0.38,1.84,47,15.29,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.845,Médio,35.11,47.87,14.45,2.57
CENTRO DE SAUDE MENINO JESUS,2310,2023,10,2260,CENTRO-SUL,1,0,0,0,0,NA,0,0,90.18,2315560,47327,NA,NA,0.54,1.19,125,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1,Baixo,100,0,0,0
CENTRO DE SAUDE GUARANI,2310,2023,10,6310,NORTE,11,0,0,0,0,NA,0,0,90.18,2315560,8192,NA,NA,0.35,1.83,14,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.047,Médio,0,95.27,4.73,0
CENTRO DE SAUDE NOSSA SENHORA DE FATIMA,2310,2023,10,2210,CENTRO-SUL,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,36048,NA,NA,0.76,1.58,91,3.01,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.406,Baixo,81.12,0.56,14.88,3.44
CENTRO DE SAUDE JARDIM LEBLON,2310,2023,10,9220,VENDA NOVA,15,0,0,0,0,NA,0,0,90.18,2315560,13490,NA,NA,0.28,2.02,33,29.3,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.853,Médio,0,43.7,27.35,28.95
CENTRO DE SAUDE SANTA TEREZINHA,2310,2023,10,8240,PAMPULHA,6,0,0,0,0,NA,0,0,90.18,2315560,22837,NA,NA,0.11,1.53,41,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.793,Médio,28.26,64.18,7.56,0
CENTRO DE SAUDE CONJUNTO BETANIA,2310,2023,10,7330,OESTE,4,0,0,0,0,NA,0,0,90.18,2315560,8413,NA,NA,2.89,1.76,17,1.71,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.868,Médio,13.16,86.84,0,0
CENTRO DE SAUDE DOM BOSCO,2310,2023,10,5220,NOROESTE,6,0,0,0,0,NA,0,0,90.18,2315560,12206,NA,NA,0.13,1.83,26,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.969,Médio,3.07,96.93,0,0
CENTRO DE SAUDE CICERO IDELFONSO,2310,2023,10,7240,OESTE,7,0,0,0,0,NA,0,0,90.18,2315560,10511,NA,NA,0.18,2.1,28,41.65,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.006,Elevado,0,27.84,43.76,28.4
CENTRO DE SAUDE FELICIDADE II,2310,2023,10,6370,NORTE,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,7478,NA,NA,0.13,2.43,13,0.11,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.261,Elevado,0,0,73.92,26.08
CENTRO DE SAUDE PRIMEIRO DE MAIO,2310,2023,10,6220,NORTE,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,7078,NA,NA,0.28,2.01,17,37.91,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.754,Elevado,0,26.65,71.28,2.07
CENTRO DE SAUDE NOVA YORK,2310,2023,10,9350,VENDA NOVA,7,0,0,0,0,NA,0,0,90.18,2315560,11184,NA,NA,0.41,1.96,22,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.079,Elevado,0,13.01,66.12,20.87
CENTRO DE SAUDE MANTIQUEIRA,2310,2023,10,9240,VENDA NOVA,9,0,0,0,0,NA,0,0,90.18,2315560,15041,NA,NA,0.49,1.98,28,0.11,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.73,Elevado,0,29.22,68.54,2.23
CENTRO DE SAUDE SANTA CRUZ - PADRE FERNANDO DE MELLO,2310,2023,10,4250,NORDESTE,6,0,0,0,0,NA,0,0,90.18,2315560,17030,NA,NA,0.06,1.58,31,3.67,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.699,Baixo,51.26,34.33,7.62,6.79
CENTRO DE SAUDE CARLOS PRATES,2310,2023,10,5410,NOROESTE,14,0,0,0,0,NA,0,0,90.18,2315560,28260,NA,NA,0.73,1.62,64,0.88,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.232,Baixo,81.5,14.01,4.32,0.17
CENTRO DE SAUDE VILA MARIA,2310,2023,10,4320,NORDESTE,7,0,0,0,0,NA,0,0,90.18,2315560,12289,NA,NA,0.32,2.03,27,6.64,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.136,Elevado,0,5.57,75.29,19.14
CENTRO DE SAUDE ETELVINA CARNEIRO,2310,2023,10,6290,NORTE,6,0,0,0,0,NA,0,0,90.18,2315560,15060,NA,NA,1.34,2.07,31,1.52,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.723,Médio,0,44.91,37.91,17.18
CENTRO DE SAUDE SAO CRISTOVAO,2310,2023,10,5370,NOROESTE,5,0,0,0,0,NA,0,0,90.18,2315560,7467,NA,NA,0.25,2.04,20,14.14,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.875,Baixo,43.03,26.46,30.51,0
CENTRO DE SAUDE VILA LEONINA,2310,2023,10,7210,OESTE,6,0,0,0,0,NA,0,0,90.18,2315560,23875,NA,NA,0.61,1.92,53,6.51,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.247,Baixo,47.55,6.4,19.86,26.18
CENTRO DE SAUDE ITAIPU - JATOBA,2310,2023,10,1300,BARREIRO,6,0,0,0,0,NA,0,0,90.18,2315560,14590,NA,NA,0.74,1.81,25,9.39,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.381,Médio,0.35,61.18,38.47,0
CENTRO DE SAUDE SANTA MONICA,2310,2023,10,9260,VENDA NOVA,7,0,0,0,0,NA,0,0,90.18,2315560,14549,NA,NA,0.2,1.7,33,3.04,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.216,Médio,5.26,79.71,3.17,11.86
CENTRO DE SAUDE JOAO PINHEIRO,2310,2023,10,5290,NOROESTE,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,10997,NA,NA,0.19,1.64,31,1.61,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.732,Médio,26.8,73.2,0,0
CENTRO DE SAUDE BARREIRO DE CIMA,2310,2023,10,1200,BARREIRO,7,0,0,0,0,NA,0,0,90.18,2315560,17070,NA,NA,0.03,1.68,34,0.02,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.047,Médio,0,95.34,4.66,0
CENTRO DE SAUDE CIDADE OZANAN,2310,2023,10,4210,NORDESTE,6,0,0,0,0,NA,0,0,90.18,2315560,24556,NA,NA,0.59,1.35,54,0.27,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.138,Baixo,86.95,12.35,0.7,0
CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS,2310,2023,10,1290,BARREIRO,8,0,0,0,0,NA,0,0,90.18,2315560,19304,NA,NA,0.16,1.61,46,1.69,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.604,Baixo,47.12,45.35,7.53,0
CENTRO DE SAUDE NOVO HORIZONTE,2310,2023,10,3310,LESTE,6,0,0,0,0,NA,0,0,90.18,2315560,9531,NA,NA,0.76,2.47,18,98.48,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.734,Muito Elevado,0,0,26.57,73.43
CENTRO DE SAUDE CALIFORNIA,2310,2023,10,5210,NOROESTE,9,0,0,0,0,NA,0,0,90.18,2315560,15835,NA,NA,0.34,1.73,34,4.44,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.246,Médio,15.27,54.23,21.09,9.41
CENTRO DE SAUDE LAJEDO,2310,2023,10,6360,NORTE,6,0,0,0,0,NA,0,0,90.18,2315560,14299,NA,NA,14.47,1.91,25,26.5,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.04,Elevado,0,18.79,58.39,22.82
CENTRO DE SAUDE RIO BRANCO,2310,2023,10,9290,VENDA NOVA,9,0,0,0,0,NA,0,0,90.18,2315560,20121,NA,NA,0.07,1.75,37,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.087,Médio,2.52,86.28,11.2,0
CENTRO DE SAUDE CABANA,2310,2023,10,7300,OESTE,9,0,0,0,0,NA,0,0,90.18,2315560,16585,NA,NA,0.07,1.87,43,14.4,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.211,Médio,24.94,39.83,24.4,10.83
CENTRO DE SAUDE PADRE EUSTAQUIO,2310,2023,10,5310,NOROESTE,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,21447,NA,NA,0.77,1.41,55,1.38,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.16,Baixo,87.39,9.24,3.38,0
CENTRO DE SAUDE PIRATININGA,2310,2023,10,9340,VENDA NOVA,7,0,0,0,0,NA,0,0,90.18,2315560,15532,NA,NA,0.45,1.8,35,7.25,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.467,Médio,0,60.35,32.61,7.04
CENTRO DE SAUDE ALCIDES LINS,2310,2023,10,4240,NORDESTE,13,0,0,0,0,NA,0,0,90.18,2315560,16826,NA,NA,0.08,1.8,42,2.66,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.727,Médio,36.01,55.33,8.67,0
CENTRO DE SAUDE JOAO XXIII,2310,2023,10,7480,OESTE,1,0,0,0,0,NA,0,0,90.18,2315560,3483,NA,NA,0,1.65,8,8.07,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.188,Médio,0,81.23,18.77,0
CENTRO DE SAUDE MARIANO DE ABREU,2310,2023,10,3230,LESTE,7,0,0,0,0,NA,0,0,90.18,2315560,13639,NA,NA,0.08,2.16,27,14.11,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.505,Médio,0,55.29,38.9,5.81
CENTRO DE SAUDE GRANJA DE FREITAS,2310,2023,10,3360,LESTE,5,0,0,0,0,NA,0,0,90.18,2315560,6941,NA,NA,0.24,2.23,13,1.6,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.856,Muito Elevado,0,0,14.39,85.61
CENTRO DE SAUDE CAMPO ALEGRE,2310,2023,10,6230,NORTE,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,18050,NA,NA,0.04,1.54,34,0.17,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.718,Médio,40.13,47.96,11.91,0
CENTRO DE SAUDE VISTA ALEGRE,2310,2023,10,7250,OESTE,7,0,0,0,0,NA,0,0,90.18,2315560,11736,NA,NA,0.12,2.06,28,25.48,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.296,Médio,0,70.85,28.66,0.49
CENTRO DE SAUDE JARDIM DOS COMERCIARIOS,2310,2023,10,9390,VENDA NOVA,7,0,0,0,0,NA,0,0,90.18,2315560,10984,NA,NA,0.52,2.18,20,2.11,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.71,Elevado,0,30.06,68.92,1.02
CENTRO DE SAUDE VILA IMPERIAL,2310,2023,10,7280,OESTE,5,0,0,0,0,NA,0,0,90.18,2315560,7604,NA,NA,1.05,2.23,28,21.38,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.644,Elevado,8.07,34.43,42.5,14.99
CENTRO DE SAUDE SAO GERALDO,2310,2023,10,3270,LESTE,5,0,0,0,0,NA,0,0,90.18,2315560,9626,NA,NA,0,1.83,21,1.15,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.087,Médio,0,92.91,5.47,1.62
CENTRO DE SAUDE GENTIL GOMES,2310,2023,10,4230,NORDESTE,6,0,0,0,0,NA,0,0,90.18,2315560,12822,NA,NA,0.1,1.92,26,1.56,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.856,Médio,14.36,85.64,0,0
CENTRO DE SAUDE JAQUELINE II,2310,2023,10,6430,NORTE,10,0,0,0,0,NA,0,0,90.18,2315560,9548,NA,NA,0.2,1.9,17,1.05,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.717,Elevado,0,29.11,70.08,0.81
CENTRO DE SAUDE CAMARGOS,2310,2023,10,7500,OESTE,3,0,0,0,0,NA,0,0,90.18,2315560,13240,NA,NA,0.18,1.32,28,0.7,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.566,Médio,43.35,56.65,0,0
CENTRO DE SAUDE MARIA GORETTI,2310,2023,10,4290,NORDESTE,7,0,0,0,0,NA,0,0,90.18,2315560,14441,NA,NA,0.07,1.94,32,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.297,Médio,0,70.33,29.67,0
CENTRO DE SAUDE MILIONARIOS,2310,2023,10,1240,BARREIRO,8,0,0,0,0,NA,0,0,90.18,2315560,16929,NA,NA,0.15,1.66,35,1.07,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.168,Médio,0,83.16,16.84,0
CENTRO DE SAUDE DOM ORIONE,2310,2023,10,8210,PAMPULHA,4,0,0,0,0,NA,0,0,90.18,2315560,16001,NA,NA,0.72,1.67,41,0.99,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.244,Baixo,80.25,15.77,3.3,0.68
CENTRO DE SAUDE PARAISO,2310,2023,10,3240,LESTE,9,0,0,0,0,NA,0,0,90.18,2315560,24579,NA,NA,0.1,1.71,61,5.02,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.65,Baixo,48.2,40.08,10.24,1.48
CENTRO DE SAUDE SANTOS ANJOS,2310,2023,10,5350,NOROESTE,5,0,0,0,0,NA,0,0,90.18,2315560,14751,NA,NA,0.02,1.67,35,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.442,Baixo,55.79,44.21,0,0
CENTRO DE SAUDE SAO JORGE,2310,2023,10,7260,OESTE,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,42048,NA,NA,0.27,1.74,111,12.77,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.409,Baixo,80.19,3.94,10.62,5.25
CENTRO DE SAUDE ERMELINDA,2310,2023,10,5240,NOROESTE,9,0,0,0,0,NA,0,0,90.18,2315560,17373,NA,NA,0.8,1.99,37,6.16,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.304,Médio,14.56,49.37,27.13,8.94
CENTRO DE SAUDE SAO MARCOS,2310,2023,10,4270,NORDESTE,NA,NA,NA,NA,NA,NA,NA,NA,90.18,2315560,10419,NA,NA,0.1,1.78,21,0,2023-10-01,596,2088258,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.883,Médio,23.45,64.82,11.73,0
