nome_cs,competencia,ano_cmpt,mes_cmpt,cod_smsa,regional,n_esf,n_emulti,n_esb,n_medicos,n_mfc,pct_mfc,n_acs,ch_medica_total,cobertura_aps_pct,populacao_referencia,pop_total_censo,pct_idosos,pct_criancas,pct_sem_saneamento,renda_media,n_setores,pct_area_favela,data_competencia,n_esf_egestor,qt_capacidade_equipe,fonte_egestor,data_extracao_egestor,fonte_censo,data_extracao_censo,fonte_favelas,data_extracao_favelas,data_extracao_cnes,ivs_score,ivs_predominante,pct_baixo,pct_medio,pct_elevado,pct_muito_elevado
CENTRO DE SAUDE VALE DO JATOBA,2301,2023,1,1270,BARREIRO,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,15443,NA,NA,0.07,2.04,29,7.58,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.394,Médio,0,61.75,37.1,1.15
CENTRO DE SAUDE CONJUNTO RIBEIRO DE ABREU - EFIGENIA MURTA FIGUEIREDO,2301,2023,1,4360,NORDESTE,4,0,0,0,0,NA,0,0,89.99,2315560,7747,NA,NA,0.75,2.08,16,7.72,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.732,Médio,0,43.83,39.12,17.06
CENTRO DE SAUDE SANTA MONICA II - ALAMEDA DOS IPES,2301,2023,1,9520,VENDA NOVA,5,0,0,0,0,NA,0,0,89.99,2315560,10097,NA,NA,0.47,1.61,21,7.44,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.894,Médio,35.58,48.19,7.52,8.71
CENTRO DE SAUDE SAO JOSE,2301,2023,1,8410,PAMPULHA,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,8079,NA,NA,0.26,1.9,20,0,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.574,Médio,14.83,40.22,17.65,27.3
CENTRO DE SAUDE URUCUIA,2301,2023,1,1330,BARREIRO,8,0,0,0,0,NA,0,0,89.99,2315560,17046,NA,NA,0.05,1.68,28,1.33,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.171,Médio,0,88.62,5.61,5.77
CENTRO DE SAUDE WALDOMIRO LOBO,2301,2023,1,7270,OESTE,NA,NA,NA,NA,NA,NA,NA,NA,89.99,2315560,5905,NA,NA,0.13,2.05,16,26.13,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.115,Elevado,0,7.13,74.27,18.6
CENTRO DE SAUDE NORALDINO DE LIMA,2301,2023,1,7230,OESTE,10,0,0,0,0,NA,0,0,89.99,2315560,35966,NA,NA,0.31,1.38,100,1.43,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,1.128,Baixo,93.78,2.66,0.57,2.99
CENTRO DE SAUDE SAO FRANCISCO,2301,2023,1,8260,PAMPULHA,3,0,0,0,0,NA,0,0,89.99,2315560,3346,NA,NA,0.07,1.75,12,0.62,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.536,Médio,0,73.22,0,26.78
CENTRO DE SAUDE CONJUNTO PAULO VI,2301,2023,1,4350,NORDESTE,11,0,0,0,0,NA,0,0,89.99,2315560,8644,NA,NA,5.58,2.16,16,19.9,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,3.536,Muito Elevado,0,0,46.42,53.58
CENTRO DE SAUDE ANDRADAS,2301,2023,1,9300,VENDA NOVA,8,0,0,0,0,NA,0,0,89.99,2315560,18084,NA,NA,1.41,1.94,37,5.45,2023-01-01,595,2083796,eGestor_manual,2026-05-15,IBGE_Censo2022,2026-05-15,IBGE_Censo2022_code_favela,2026-05-15,2026-05-15,2.106,Médio,10.8,74.46,8.08,6.66
