co_unidade,nome_cs
3369099,CENTRO DE SAUDE CARLOS CHAGAS
3369102,CENTRO DE SAUDE CARLOS CHAGAS
3369110,CENTRO DE SAUDE CARLOS CHAGAS
3369129,CENTRO DE SAUDE CARLOS CHAGAS
3369188,CENTRO DE SAUDE CARLOS CHAGAS
3369226,CENTRO DE SAUDE HORTO
3369242,CENTRO DE SAUDE OSWALDO CRUZ
3369382,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3369919,CENTRO DE SAUDE CARLOS CHAGAS
3370984,CENTRO DE SAUDE DOM CABRAL
3370992,CENTRO DE SAUDE CARLOS CHAGAS
3371026,CENTRO DE SAUDE HORTO
3371034,CENTRO DE SAUDE SAGRADA FAMILIA - MARCO ANTONIO DE MENEZES
3371050,CENTRO DE SAUDE CARLOS PRATES
3371220,CENTRO DE SAUDE CARLOS PRATES
3371883,CENTRO DE SAUDE CARLOS CHAGAS
3371891,CENTRO DE SAUDE CARLOS CHAGAS
3372235,CENTRO DE SAUDE SANTA AMELIA
3372286,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3372464,CENTRO DE SAUDE SAO PAULO
3372693,CENTRO DE SAUDE OSWALDO CRUZ
3372820,CENTRO DE SAUDE CAMPO ALEGRE
3376494,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3380343,CENTRO DE SAUDE OSWALDO CRUZ
3380823,CENTRO DE SAUDE CARLOS CHAGAS
3380939,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3381552,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3381684,CENTRO DE SAUDE OSWALDO CRUZ
3382109,CENTRO DE SAUDE SANTO ANTONIO
3383474,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3384349,CENTRO DE SAUDE CARLOS CHAGAS
3384764,CENTRO DE SAUDE CIDADE OZANAN
3384918,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3385183,CENTRO DE SAUDE CARLOS CHAGAS
3389804,CENTRO DE SAUDE CARLOS CHAGAS
3389863,CENTRO DE SAUDE CARLOS CHAGAS
3390705,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3390985,CENTRO DE SAUDE MENINO JESUS
3392872,CENTRO DE SAUDE NORALDINO DE LIMA
3392937,CENTRO DE SAUDE CARLOS CHAGAS
3396843,CENTRO DE SAUDE CARLOS CHAGAS
3396878,CENTRO DE SAUDE OSWALDO CRUZ
3396894,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3397041,CENTRO DE SAUDE HORTO
3397467,CENTRO DE SAUDE SANTA AMELIA
3399265,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3399273,CENTRO DE SAUDE HORTO
3402150,CENTRO DE SAUDE OSWALDO CRUZ
3402169,CENTRO DE SAUDE OSWALDO CRUZ
3404919,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3404943,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3405141,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3406059,CENTRO DE SAUDE PARAISO
3406938,CENTRO DE SAUDE CARLOS CHAGAS
3407144,CENTRO DE SAUDE MENINO JESUS
3407179,CENTRO DE SAUDE CARLOS CHAGAS
3407195,CENTRO DE SAUDE MENINO JESUS
3408515,CENTRO DE SAUDE OSWALDO CRUZ
3408590,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3408671,CENTRO DE SAUDE GUARANI
3409791,CENTRO DE SAUDE CARLOS PRATES
3409872,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3410366,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3410765,CENTRO DE SAUDE SAO FRANCISCO
3410773,CENTRO DE SAUDE SAO FRANCISCO
3410781,CENTRO DE SAUDE SAO FRANCISCO
3410803,CENTRO DE SAUDE SAO FRANCISCO
3410811,CENTRO DE SAUDE SAO FRANCISCO
3410838,CENTRO DE SAUDE SAO FRANCISCO
3410889,CENTRO DE SAUDE SAO FRANCISCO
3410927,CENTRO DE SAUDE SAO FRANCISCO
3410943,CENTRO DE SAUDE SAO FRANCISCO
3411443,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3411451,CENTRO DE SAUDE JARDIM LEBLON
3412814,CENTRO DE SAUDE MANTIQUEIRA
3413276,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3413837,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3413845,CENTRO DE SAUDE OSWALDO CRUZ
3414124,CENTRO DE SAUDE OSWALDO CRUZ
3416208,CENTRO DE SAUDE MENINO JESUS
3416291,CENTRO DE SAUDE CARLOS CHAGAS
3416550,CENTRO DE SAUDE CARLOS CHAGAS
3417026,CENTRO DE SAUDE CARLOS PRATES
3417530,CENTRO DE SAUDE CARLOS CHAGAS
3417549,CENTRO DE SAUDE CARLOS CHAGAS
3417603,CENTRO DE SAUDE MENINO JESUS
3417611,CENTRO DE SAUDE MENINO JESUS
3417638,CENTRO DE SAUDE MENINO JESUS
3418162,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3423778,CENTRO DE SAUDE MENINO JESUS
3423808,CENTRO DE SAUDE SANTA RITA DE CASSIA
3423913,CENTRO DE SAUDE CARLOS CHAGAS
3423956,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3424820,CENTRO DE SAUDE OSWALDO CRUZ
3425282,CENTRO DE SAUDE ANDRADAS
3425290,CENTRO DE SAUDE SANTA AMELIA
3425347,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3425770,CENTRO DE SAUDE CACHOEIRINHA
3426637,CENTRO DE SAUDE PIRATININGA
3426831,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3426874,CENTRO DE SAUDE DOM ORIONE
3428095,CENTRO DE SAUDE MENINO JESUS
3428788,CENTRO DE SAUDE CARLOS CHAGAS
3429261,CENTRO DE SAUDE MENINO JESUS
3429288,CENTRO DE SAUDE MENINO JESUS
3429601,CENTRO DE SAUDE OSWALDO CRUZ
3429865,CENTRO DE SAUDE CARLOS CHAGAS
3429873,CENTRO DE SAUDE JARDIM EUROPA
3430812,CENTRO DE SAUDE CARLOS CHAGAS
3431045,CENTRO DE SAUDE CIDADE OZANAN
3431479,CENTRO DE SAUDE CARLOS CHAGAS
3431908,CENTRO DE SAUDE OSWALDO CRUZ
3431924,CENTRO DE SAUDE CARLOS CHAGAS
3433226,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3433404,CENTRO DE SAUDE MENINO JESUS
3433412,CENTRO DE SAUDE MENINO JESUS
3433455,CENTRO DE SAUDE TIA AMANCIA
3433471,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3433587,CENTRO DE SAUDE OSWALDO CRUZ
3433595,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3434982,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3436306,CENTRO DE SAUDE HORTO
3436314,CENTRO DE SAUDE HORTO
3437035,CENTRO DE SAUDE MENINO JESUS
3439224,CENTRO DE SAUDE CONJUNTO SANTA MARIA
3439348,CENTRO DE SAUDE HAVAI
3439364,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3439615,CENTRO DE SAUDE OSWALDO CRUZ
3439666,CENTRO DE SAUDE MENINO JESUS
3439763,CENTRO DE SAUDE CARLOS CHAGAS
3442004,CENTRO DE SAUDE CARLOS CHAGAS
3442764,CENTRO DE SAUDE CARLOS CHAGAS
3442772,CENTRO DE SAUDE OSWALDO CRUZ
3442780,CENTRO DE SAUDE OSWALDO CRUZ
3442802,CENTRO DE SAUDE OSWALDO CRUZ
3443337,CENTRO DE SAUDE OSWALDO CRUZ
3443361,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3445917,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3447324,CENTRO DE SAUDE CARLOS CHAGAS
3447960,CENTRO DE SAUDE MENINO JESUS
3447987,CENTRO DE SAUDE MENINO JESUS
3451658,CENTRO DE SAUDE CARLOS PRATES
3452050,CENTRO DE SAUDE CARLOS CHAGAS
3452913,CENTRO DE SAUDE CARLOS CHAGAS
3453219,CENTRO DE SAUDE CARLOS CHAGAS
3453227,CENTRO DE SAUDE SANTA RITA DE CASSIA
3453642,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3453669,CENTRO DE SAUDE OSWALDO CRUZ
3454134,CENTRO DE SAUDE CARLOS CHAGAS
3455203,CENTRO DE SAUDE OSWALDO CRUZ
3456145,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3456668,CENTRO DE SAUDE OSWALDO CRUZ
3458253,CENTRO DE SAUDE MENINO JESUS
3459586,CENTRO DE SAUDE OSWALDO CRUZ
3461572,CENTRO DE SAUDE DOM ORIONE
3462862,CENTRO DE SAUDE CARLOS CHAGAS
3462900,CENTRO DE SAUDE MENINO JESUS
3463591,CENTRO DE SAUDE OSWALDO CRUZ
3464695,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3464776,CENTRO DE SAUDE CAMPO ALEGRE
3465004,CENTRO DE SAUDE OSWALDO CRUZ
3467341,CENTRO DE SAUDE CARLOS CHAGAS
3468909,CENTRO DE SAUDE OSWALDO CRUZ
3468941,CENTRO DE SAUDE OSWALDO CRUZ
3469174,CENTRO DE SAUDE OSWALDO CRUZ
3469514,CENTRO DE SAUDE CARLOS CHAGAS
3469557,CENTRO DE SAUDE CALIFORNIA
3469565,CENTRO DE SAUDE OSWALDO CRUZ
3469913,CENTRO DE SAUDE MARIANO DE ABREU
3471683,CENTRO DE SAUDE MENINO JESUS
3473716,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3474690,CENTRO DE SAUDE MENINO JESUS
3475514,CENTRO DE SAUDE MENINO JESUS
3476022,CENTRO DE SAUDE OSWALDO CRUZ
3476030,CENTRO DE SAUDE OSWALDO CRUZ
3477436,CENTRO DE SAUDE CARLOS CHAGAS
3477800,CENTRO DE SAUDE MENINO JESUS
3482529,CENTRO DE SAUDE MENINO JESUS
3483606,CENTRO DE SAUDE OSWALDO CRUZ
3484300,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3485404,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3488810,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3493857,CENTRO DE SAUDE OSWALDO CRUZ
3493865,CENTRO DE SAUDE CARLOS CHAGAS
3495795,CENTRO DE SAUDE CARLOS CHAGAS
3497054,CENTRO DE SAUDE CARLOS CHAGAS
3497062,CENTRO DE SAUDE JARDIM EUROPA
3498999,CENTRO DE SAUDE CARLOS CHAGAS
3499030,CENTRO DE SAUDE MENINO JESUS
3499162,CENTRO DE SAUDE OSWALDO CRUZ
3503658,CENTRO DE SAUDE MENINO JESUS
3503674,CENTRO DE SAUDE OSWALDO CRUZ
3504700,CENTRO DE SAUDE SAO JORGE
3508595,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3508994,CENTRO DE SAUDE ALCIDES LINS
3509001,CENTRO DE SAUDE CARLOS CHAGAS
3509141,CENTRO DE SAUDE HAVAI
3509605,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3510417,CENTRO DE SAUDE BOM JESUS
3512274,CENTRO DE SAUDE CARLOS CHAGAS
3516601,CENTRO DE SAUDE ALCIDES LINS
3516997,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3517004,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3520358,CENTRO DE SAUDE OSWALDO CRUZ
3520366,CENTRO DE SAUDE AMILCAR VIANA MARTINS
3520382,CENTRO DE SAUDE OSWALDO CRUZ
3520390,CENTRO DE SAUDE CARLOS CHAGAS
3520404,CENTRO DE SAUDE NORALDINO DE LIMA
3520412,CENTRO DE SAUDE OSWALDO CRUZ
3520854,CENTRO DE SAUDE TIROL - FRANCISCO GOMES BARBOSA
3520862,CENTRO DE SAUDE OSWALDO CRUZ
3520935,CENTRO DE SAUDE CARLOS CHAGAS
3521060,CENTRO DE SAUDE MENINO JESUS
3521427,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3521478,CENTRO DE SAUDE CARLOS PRATES
3521605,CENTRO DE SAUDE CARLOS CHAGAS
3522733,CENTRO DE SAUDE MENINO JESUS
3523128,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3525791,CENTRO DE SAUDE CARLOS CHAGAS
3525813,CENTRO DE SAUDE CARLOS CHAGAS
3526070,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3526283,CENTRO DE SAUDE CARLOS CHAGAS
3526690,CENTRO DE SAUDE OSWALDO CRUZ
3526704,CENTRO DE SAUDE CARLOS CHAGAS
3526747,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3526755,CENTRO DE SAUDE OSWALDO CRUZ
3527026,CENTRO DE SAUDE CARLOS PRATES
3527557,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3527565,CENTRO DE SAUDE CARLOS CHAGAS
3527581,CENTRO DE SAUDE MENINO JESUS
3528278,CENTRO DE SAUDE CONJUNTO SANTA MARIA
3529606,CENTRO DE SAUDE OSWALDO CRUZ
3530329,CENTRO DE SAUDE OSWALDO CRUZ
3533085,CENTRO DE SAUDE MENINO JESUS
3533107,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3534871,CENTRO DE SAUDE SAGRADA FAMILIA - MARCO ANTONIO DE MENEZES
3535940,CENTRO DE SAUDE SANTO ANTONIO
3536696,CENTRO DE SAUDE SANTO ANTONIO
3536882,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3536963,CENTRO DE SAUDE OSWALDO CRUZ
3537641,CENTRO DE SAUDE OSWALDO CRUZ
3540715,CENTRO DE SAUDE CACHOEIRINHA
3540847,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3541754,CENTRO DE SAUDE MENINO JESUS
3541762,CENTRO DE SAUDE MENINO JESUS
3541789,CENTRO DE SAUDE CARLOS CHAGAS
3541797,CENTRO DE SAUDE CARLOS CHAGAS
3542637,CENTRO DE SAUDE MENINO JESUS
3543838,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3543846,CENTRO DE SAUDE DOM BOSCO
3543935,CENTRO DE SAUDE MENINO JESUS
3543943,CENTRO DE SAUDE CARLOS CHAGAS
3543978,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3543986,CENTRO DE SAUDE CARLOS CHAGAS
3545148,CENTRO DE SAUDE DOM ORIONE
3545172,CENTRO DE SAUDE OSWALDO CRUZ
3545180,CENTRO DE SAUDE MENINO JESUS
3545482,CENTRO DE SAUDE MENINO JESUS
3545946,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3546411,CENTRO DE SAUDE MENINO JESUS
3546675,CENTRO DE SAUDE DOM ORIONE
3546691,CENTRO DE SAUDE ANDRADAS
3546705,CENTRO DE SAUDE MENINO JESUS
3547140,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3549240,CENTRO DE SAUDE CARLOS CHAGAS
3549445,CENTRO DE SAUDE CARLOS CHAGAS
3549550,CENTRO DE SAUDE MENINO JESUS
3549909,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3550397,CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO
3550451,CENTRO DE SAUDE MENINO JESUS
3550508,CENTRO DE SAUDE SAO JOSE OPERARIO
3551784,CENTRO DE SAUDE CARLOS CHAGAS
3552306,CENTRO DE SAUDE CARLOS CHAGAS
3553078,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3553108,CENTRO DE SAUDE CARLOS CHAGAS
3557049,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3557065,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3557219,CENTRO DE SAUDE OSWALDO CRUZ
3557456,CENTRO DE SAUDE CARLOS CHAGAS
3557472,CENTRO DE SAUDE GRANJA DE FREITAS
3557553,CENTRO DE SAUDE CARLOS CHAGAS
3560465,CENTRO DE SAUDE CARLOS CHAGAS
3561860,CENTRO DE SAUDE OSWALDO CRUZ
3561887,CENTRO DE SAUDE CARLOS CHAGAS
3561925,CENTRO DE SAUDE CARLOS CHAGAS
3562654,CENTRO DE SAUDE OSWALDO CRUZ
3563081,CENTRO DE SAUDE SANTA RITA DE CASSIA
3563561,CENTRO DE SAUDE MENINO JESUS
3564037,CENTRO DE SAUDE CARLOS CHAGAS
3565793,CENTRO DE SAUDE MENINO JESUS
3568288,CENTRO DE SAUDE CARLOS CHAGAS
3570231,CENTRO DE SAUDE CARLOS CHAGAS
3570266,CENTRO DE SAUDE OSWALDO CRUZ
3572811,CENTRO DE SAUDE CARLOS CHAGAS
3574369,CENTRO DE SAUDE CIDADE OZANAN
3574377,CENTRO DE SAUDE OSWALDO CRUZ
3581020,CENTRO DE SAUDE CARLOS CHAGAS
3581047,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3583708,CENTRO DE SAUDE MANTIQUEIRA
3583716,CENTRO DE SAUDE CARLOS CHAGAS
3585956,CENTRO DE SAUDE HORTO
3585964,CENTRO DE SAUDE HORTO
3587371,CENTRO DE SAUDE OSWALDO CRUZ
3588084,CENTRO DE SAUDE CACHOEIRINHA
3592251,CENTRO DE SAUDE CARLOS CHAGAS
3592294,CENTRO DE SAUDE OSWALDO CRUZ
3592308,CENTRO DE SAUDE SAO PAULO
3592340,CENTRO DE SAUDE CARLOS CHAGAS
3597253,CENTRO DE SAUDE VENTOSA
3597326,CENTRO DE SAUDE MENINO JESUS
3597458,CENTRO DE SAUDE TIA AMANCIA
3600971,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3601013,CENTRO DE SAUDE CARLOS CHAGAS
3602257,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3602907,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3605086,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3605108,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3608166,CENTRO DE SAUDE CARLOS CHAGAS
3608174,CENTRO DE SAUDE CARLOS CHAGAS
3608182,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3608204,CENTRO DE SAUDE SANTOS ANJOS
3608476,CENTRO DE SAUDE NORALDINO DE LIMA
3611604,CENTRO DE SAUDE CARLOS CHAGAS
3611620,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3611639,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3621367,CENTRO DE SAUDE SAO BERNARDO - AMELIA ROCHA DE MELO
3621375,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3621383,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3621391,CENTRO DE SAUDE CARLOS CHAGAS
3621456,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3621464,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3621472,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3621499,CENTRO DE SAUDE OSWALDO CRUZ
3621502,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3623106,CENTRO DE SAUDE OSWALDO CRUZ
3623114,CENTRO DE SAUDE CARLOS CHAGAS
3623149,CENTRO DE SAUDE CARLOS CHAGAS
3623165,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3623998,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3624021,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3624293,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3624978,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3627292,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3627438,CENTRO DE SAUDE CARLOS CHAGAS
3627470,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3629686,CENTRO DE SAUDE MENINO JESUS
3629716,CENTRO DE SAUDE SAO JOSE OPERARIO
3633705,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3634396,CENTRO DE SAUDE OSWALDO CRUZ
3637425,CENTRO DE SAUDE SANTA RITA DE CASSIA
3641139,CENTRO DE SAUDE NORALDINO DE LIMA
3643778,CENTRO DE SAUDE JARDIM EUROPA
3648834,CENTRO DE SAUDE OSWALDO CRUZ
3648923,CENTRO DE SAUDE CARLOS CHAGAS
3650545,CENTRO DE SAUDE OSWALDO CRUZ
3652602,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3654044,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3656292,CENTRO DE SAUDE MENINO JESUS
3656306,CENTRO DE SAUDE OSWALDO CRUZ
3659690,CENTRO DE SAUDE CARLOS CHAGAS
3659763,CENTRO DE SAUDE OSWALDO CRUZ
3659798,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3662314,CENTRO DE SAUDE SAGRADA FAMILIA - MARCO ANTONIO DE MENEZES
3662357,CENTRO DE SAUDE OSWALDO CRUZ
3662381,CENTRO DE SAUDE CARLOS CHAGAS
3662403,CENTRO DE SAUDE OSWALDO CRUZ
3664279,CENTRO DE SAUDE SANTA LUCIA
3664295,CENTRO DE SAUDE MENINO JESUS
3664872,CENTRO DE SAUDE CARLOS CHAGAS
3669904,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3669912,CENTRO DE SAUDE CARLOS CHAGAS
3685535,CENTRO DE SAUDE CARLOS CHAGAS
3685543,CENTRO DE SAUDE OSWALDO CRUZ
3685586,CENTRO DE SAUDE OSWALDO CRUZ
3685640,CENTRO DE SAUDE CARLOS CHAGAS
3686159,CENTRO DE SAUDE CARLOS CHAGAS
3697363,CENTRO DE SAUDE CARLOS CHAGAS
3702553,CENTRO DE SAUDE CARLOS CHAGAS
3702561,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3702596,CENTRO DE SAUDE CARLOS CHAGAS
3702677,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3702693,CENTRO DE SAUDE SAO JORGE
3714756,CENTRO DE SAUDE OSWALDO CRUZ
3714764,CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO
3721019,CENTRO DE SAUDE CARLOS CHAGAS
3734439,CENTRO DE SAUDE MENINO JESUS
3734528,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3739848,CENTRO DE SAUDE DOM BOSCO
3740013,CENTRO DE SAUDE CARLOS PRATES
3740064,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3740080,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3740102,CENTRO DE SAUDE CARLOS CHAGAS
3740129,CENTRO DE SAUDE HORTO
3741885,CENTRO DE SAUDE OSWALDO CRUZ
3742407,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3742415,CENTRO DE SAUDE OSWALDO CRUZ
3748499,CENTRO DE SAUDE CARLOS CHAGAS
3752690,CENTRO DE SAUDE OSWALDO CRUZ
3752909,CENTRO DE SAUDE MENINO JESUS
3756424,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3757862,CENTRO DE SAUDE SANTA AMELIA
3757900,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3768392,CENTRO DE SAUDE SAO CRISTOVAO
3768430,CENTRO DE SAUDE CARLOS CHAGAS
3775844,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3778479,CENTRO DE SAUDE MENINO JESUS
3799425,CENTRO DE SAUDE CARLOS CHAGAS
3799697,CENTRO DE SAUDE OSWALDO CRUZ
3819779,CENTRO DE SAUDE CARLOS PRATES
3819817,CENTRO DE SAUDE OSWALDO CRUZ
3820068,CENTRO DE SAUDE CARLOS CHAGAS
3824152,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3824160,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3824179,CENTRO DE SAUDE CACHOEIRINHA
3825566,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3829472,CENTRO DE SAUDE OSWALDO CRUZ
3829510,CENTRO DE SAUDE SANTA RITA DE CASSIA
3829561,CENTRO DE SAUDE MENINO JESUS
3829685,CENTRO DE SAUDE MENINO JESUS
3831248,CENTRO DE SAUDE NORALDINO DE LIMA
3835952,CENTRO DE SAUDE OSWALDO CRUZ
3837513,CENTRO DE SAUDE OURO PRETO
3837521,CENTRO DE SAUDE CACHOEIRINHA
3837815,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3839168,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3839176,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
3840654,CENTRO DE SAUDE CARLOS CHAGAS
3842924,CENTRO DE SAUDE SANTA RITA DE CASSIA
3843009,CENTRO DE SAUDE MENINO JESUS
3852113,CENTRO DE SAUDE OSWALDO CRUZ
3852199,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3855953,CENTRO DE SAUDE MENINO JESUS
3855996,CENTRO DE SAUDE OSWALDO CRUZ
3856003,CENTRO DE SAUDE OSWALDO CRUZ
3856089,CENTRO DE SAUDE OSWALDO CRUZ
3864421,CENTRO DE SAUDE CARLOS CHAGAS
3867633,CENTRO DE SAUDE CACHOEIRINHA
3878406,CENTRO DE SAUDE OSWALDO CRUZ
3878430,CENTRO DE SAUDE CARLOS CHAGAS
3883922,CENTRO DE SAUDE OSWALDO CRUZ
3888606,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3892964,CENTRO DE SAUDE CARLOS CHAGAS
3892972,CENTRO DE SAUDE OSWALDO CRUZ
3895947,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3900606,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3901491,CENTRO DE SAUDE CARLOS CHAGAS
3901742,CENTRO DE SAUDE CARLOS CHAGAS
3905780,CENTRO DE SAUDE CARLOS CHAGAS
3907015,CENTRO DE SAUDE CIDADE OZANAN
3907104,CENTRO DE SAUDE HAVAI
3907422,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3911756,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3916626,CENTRO DE SAUDE OSWALDO CRUZ
3918416,CENTRO DE SAUDE SANTA AMELIA
3923681,CENTRO DE SAUDE DOM ORIONE
3923746,CENTRO DE SAUDE CARLOS CHAGAS
3924084,CENTRO DE SAUDE CARLOS CHAGAS
3926214,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3929779,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3929825,CENTRO DE SAUDE CARLOS CHAGAS
3931781,CENTRO DE SAUDE CARLOS CHAGAS
3934497,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3942910,CENTRO DE SAUDE CARLOS CHAGAS
3944409,CENTRO DE SAUDE OSWALDO CRUZ
3946118,CENTRO DE SAUDE CARLOS CHAGAS
3946134,CENTRO DE SAUDE JARDIM EUROPA
3952339,CENTRO DE SAUDE CARLOS CHAGAS
3957438,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3958353,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3963209,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3965481,CENTRO DE SAUDE DIAMANTE - TEIXEIRA DIAS
3971597,CENTRO DE SAUDE DOM CABRAL
3973824,CENTRO DE SAUDE CARLOS CHAGAS
3975525,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3982610,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3983471,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3986470,CENTRO DE SAUDE OSWALDO CRUZ
3986497,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3986519,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
3986527,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3988872,CENTRO DE SAUDE MENINO JESUS
3997332,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
3999386,CENTRO DE SAUDE ANDRADAS
