co_unidade,nome_cs
0024147,CENTRO DE SAUDE SANTA RITA DE CASSIA
0024163,CENTRO DE SAUDE TIA AMANCIA
0025720,CENTRO DE SAUDE HORTO
0025763,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0025798,CENTRO DE SAUDE HORTO
0025828,CENTRO DE SAUDE HORTO
0025836,CENTRO DE SAUDE SAO PAULO
0025860,CENTRO DE SAUDE SANTA AMELIA
0025879,CENTRO DE SAUDE ANDRADAS
0026697,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0026719,CENTRO DE SAUDE OSWALDO CRUZ
0026727,CENTRO DE SAUDE CARLOS CHAGAS
0026794,CENTRO DE SAUDE LAJEDO
0026808,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0026824,CENTRO DE SAUDE CARLOS PRATES
0026840,CENTRO DE SAUDE ALCIDES LINS
0026859,CENTRO DE SAUDE OSWALDO CRUZ
0026921,CENTRO DE SAUDE CARLOS CHAGAS
0026948,CENTRO DE SAUDE CARLOS CHAGAS
0026964,CENTRO DE SAUDE PADRE EUSTAQUIO
0026972,CENTRO DE SAUDE OSWALDO CRUZ
0026999,CENTRO DE SAUDE OSWALDO CRUZ
0027014,CENTRO DE SAUDE CARLOS CHAGAS
0027022,CENTRO DE SAUDE BONSUCESSO
0027049,CENTRO DE SAUDE CARLOS CHAGAS
0027103,CENTRO DE SAUDE OSWALDO CRUZ
0027111,CENTRO DE SAUDE MENINO JESUS
0027138,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0027146,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0027189,CENTRO DE SAUDE HORTO
0027197,CENTRO DE SAUDE MENINO JESUS
0027251,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0027278,CENTRO DE SAUDE CARLOS CHAGAS
0027294,CENTRO DE SAUDE CARLOS CHAGAS
0027332,CENTRO DE SAUDE BARREIRO - CARLOS RENATO DIAS
0027383,CENTRO DE SAUDE OSWALDO CRUZ
0027391,CENTRO DE SAUDE CARLOS CHAGAS
0027405,CENTRO DE SAUDE ALCIDES LINS
0027421,CENTRO DE SAUDE ALCIDES LINS
0027472,CENTRO DE SAUDE OSWALDO CRUZ
0027480,CENTRO DE SAUDE MENINO JESUS
0027499,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0027510,CENTRO DE SAUDE OSWALDO CRUZ
0027561,CENTRO DE SAUDE OSWALDO CRUZ
0027596,CENTRO DE SAUDE DOM CABRAL
0027618,CENTRO DE SAUDE VERA CRUZ
0027626,CENTRO DE SAUDE CARLOS CHAGAS
0027650,CENTRO DE SAUDE OSWALDO CRUZ
0027685,CENTRO DE SAUDE HORTO
0027715,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0027782,CENTRO DE SAUDE CARLOS CHAGAS
0027812,CENTRO DE SAUDE AMILCAR VIANA MARTINS
0027847,CENTRO DE SAUDE OSWALDO CRUZ
0027863,CENTRO DE SAUDE SANTO ANTONIO
0027871,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0027898,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0027901,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0027936,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0027944,CENTRO DE SAUDE HORTO
0027952,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0027979,CENTRO DE SAUDE CACHOEIRINHA
0027987,CENTRO DE SAUDE CARLOS CHAGAS
0027995,CENTRO DE SAUDE OSWALDO CRUZ
0028401,CENTRO DE SAUDE OSWALDO CRUZ
0032492,CENTRO DE SAUDE CARLOS CHAGAS
0032557,CENTRO DE SAUDE ANDRADAS
0032573,CENTRO DE SAUDE VILAS REUNIDAS - LEOPOLDO CRISOSTOMO DE CASTRO
0032581,CENTRO DE SAUDE CARLOS CHAGAS
0032786,CENTRO DE SAUDE MENINO JESUS
0033715,CENTRO DE SAUDE JARDIM EUROPA
0035009,CENTRO DE SAUDE CARLOS CHAGAS
0035580,CENTRO DE SAUDE SANTO ANTONIO
0039063,CENTRO DE SAUDE DOM CABRAL
0046760,CENTRO DE SAUDE VENTOSA
0048283,CENTRO DE SAUDE CONJUNTO SANTA MARIA
0048372,CENTRO DE SAUDE CARLOS CHAGAS
0051578,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0051616,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0052345,CENTRO DE SAUDE NOSSA SENHORA APARECIDA
0053120,CENTRO DE SAUDE SAGRADA FAMILIA - MARCO ANTONIO DE MENEZES
0053775,CENTRO DE SAUDE OSWALDO CRUZ
0054518,CENTRO DE SAUDE NOSSA SENHORA DE FATIMA
0054550,CENTRO DE SAUDE OSWALDO CRUZ
0055832,CENTRO DE SAUDE SANTA RITA DE CASSIA
