nome_cs,faixa_etaria,pop_faixa
CENTRO DE SAUDE BARREIRO DE CIMA,0-4,838
CENTRO DE SAUDE BARREIRO DE CIMA,5-9,960
CENTRO DE SAUDE BARREIRO DE CIMA,10-14,932
CENTRO DE SAUDE BARREIRO DE CIMA,15-19,1004
CENTRO DE SAUDE BARREIRO DE CIMA,20-24,1180
CENTRO DE SAUDE BARREIRO DE CIMA,25-29,1393
CENTRO DE SAUDE BARREIRO DE CIMA,30-39,2699
CENTRO DE SAUDE BARREIRO DE CIMA,40-49,2623
CENTRO DE SAUDE BARREIRO DE CIMA,50-59,2347
CENTRO DE SAUDE BARREIRO DE CIMA,60-69,1783
CENTRO DE SAUDE BARREIRO DE CIMA,70+,1311
CENTRO DE SAUDE BETANIA,0-4,605
CENTRO DE SAUDE BETANIA,5-9,606
CENTRO DE SAUDE BETANIA,10-14,499
CENTRO DE SAUDE BETANIA,15-19,592
CENTRO DE SAUDE BETANIA,20-24,885
CENTRO DE SAUDE BETANIA,25-29,864
CENTRO DE SAUDE BETANIA,30-39,1821
CENTRO DE SAUDE BETANIA,40-49,1711
CENTRO DE SAUDE BETANIA,50-59,1451
CENTRO DE SAUDE BETANIA,60-69,965
CENTRO DE SAUDE BETANIA,70+,840
CENTRO DE SAUDE BOA VISTA,0-4,459
CENTRO DE SAUDE BOA VISTA,5-9,516
CENTRO DE SAUDE BOA VISTA,10-14,563
CENTRO DE SAUDE BOA VISTA,15-19,632
CENTRO DE SAUDE BOA VISTA,20-24,735
CENTRO DE SAUDE BOA VISTA,25-29,741
CENTRO DE SAUDE BOA VISTA,30-39,1391
CENTRO DE SAUDE BOA VISTA,40-49,1440
CENTRO DE SAUDE BOA VISTA,50-59,1443
CENTRO DE SAUDE BOA VISTA,60-69,1177
CENTRO DE SAUDE BOA VISTA,70+,984
CENTRO DE SAUDE BOM JESUS,0-4,380
CENTRO DE SAUDE BOM JESUS,5-9,434
CENTRO DE SAUDE BOM JESUS,10-14,478
CENTRO DE SAUDE BOM JESUS,15-19,536
CENTRO DE SAUDE BOM JESUS,20-24,653
CENTRO DE SAUDE BOM JESUS,25-29,688
CENTRO DE SAUDE BOM JESUS,30-39,1379
CENTRO DE SAUDE BOM JESUS,40-49,1343
CENTRO DE SAUDE BOM JESUS,50-59,1462
CENTRO DE SAUDE BOM JESUS,60-69,1370
CENTRO DE SAUDE BOM JESUS,70+,1221
CENTRO DE SAUDE BONSUCESSO,0-4,769
CENTRO DE SAUDE BONSUCESSO,5-9,869
CENTRO DE SAUDE BONSUCESSO,10-14,877
