cep,lat,lon,motivo
31540280,-19.8240284,-43.9907281,NA
30335050,-19.9565696,-43.9426814,NA
30575680,-19.9785561,-43.9811058,NA
30512170,-19.9464878,-43.9995824,NA
31640322,NA,NA,Endereço não geocodificado
31550470,-19.8368021,-43.9856536,NA
30882660,-19.8756965,-44.0132061,NA
30770220,-19.9097706,-43.9716554,NA
31710520,-19.8402787,-43.9557652,NA
30280500,-19.9146717,-43.9029523,NA
30285180,-19.9085803,-43.8896321,NA
31746065,-19.8107254,-43.9388153,NA
30510575,-19.944533,-43.9991788,NA
31720180,-19.8313387,-43.9576749,NA
30668590,NA,NA,Endereço não geocodificado
31035400,-19.8989854,-43.9220578,NA
30330260,-19.9423494,-43.9429876,NA
30775345,-19.892949,-43.966421,NA
30666710,-20.0184163,-44.0260923,NA
30421270,-19.9352035,-43.9751935,NA
30710340,-19.910216,-43.960267,NA
31330290,-19.8749965,-43.9930523,NA
31985130,-19.8543302,-43.9085448,NA
30451163,NA,NA,Endereço não geocodificado
31230450,-19.8960713,-43.9562277,NA
31920440,-19.8710003,-43.9098177,NA
30451570,NA,NA,Endereço não geocodificado
30860260,NA,NA,Endereço não geocodificado
31573540,-19.8159557,-43.992034,NA
31810070,-19.8608679,-43.9296881,NA
30820350,NA,NA,Endereço não geocodificado
30810540,-19.8922274,-43.9900502,NA
31970626,NA,NA,Endereço não geocodificado
30640495,-19.9743033,-44.0230262,NA
31250001,NA,NA,Endereço não geocodificado
30840000,-19.8951602,-44.0001618,NA
30550032,-19.9402136,-43.9809866,NA
31580490,-19.8273043,-44.002005,NA
31573490,-19.8159994,-43.9898681,NA
31810220,-19.8626422,-43.931447,NA
30670050,NA,NA,Endereço não geocodificado
30672270,-20.0212931,-44.0268513,NA
30220338,NA,NA,Endereço não geocodificado
30610100,-19.9574889,-44.0097412,NA
30660570,NA,NA,Endereço não geocodificado
31742517,-19.8303901,-43.9299933,NA
30660340,-19.991746,-44.0265476,NA
31998360,NA,NA,Endereço não geocodificado
31920725,NA,NA,Endereço não geocodificado
30855330,-19.9192033,-44.0114083,NA
30855335,-19.9185363,-44.0089164,NA
30865360,NA,NA,Endereço não geocodificado
31730772,-19.8414219,-43.9433898,NA
31230200,-19.9037898,-43.9592005,NA
31250551,NA,NA,Endereço não geocodificado
30518270,-19.9517245,-44.0066626,NA
31130330,NA,NA,Endereço não geocodificado
31210010,-19.9077318,-43.9431358,NA
31230650,-19.8974825,-43.9538667,NA
30720400,-19.9193778,-43.9798441,NA
31930520,-19.8624234,-43.9099659,NA
30850230,-19.9156666,-44.0041302,NA
30240390,-19.9243028,-43.9164758,NA
31050530,-19.8991113,-43.8971929,NA
30530260,-19.9303765,-43.9953159,NA
31170570,-19.8833178,-43.9219184,NA
31340250,NA,NA,Endereço não geocodificado
30390085,-19.9885621,-43.9721615,NA
31610450,-19.8084231,-43.9524581,NA
31842360,NA,NA,Endereço não geocodificado
30865050,-19.9096517,-44.0158699,NA
31210720,-19.9045647,-43.947898,NA
31540400,-19.8268443,-43.9866846,NA
30664003,NA,NA,Endereço não geocodificado
31060235,NA,NA,CEP não encontrado no ViaCEP
30692500,-19.9910275,-44.0511963,NA
30624050,-19.992894,-43.999747,NA
31610250,-19.8122798,-43.9521307,NA
31540160,-19.8226768,-43.9897181,NA
31950210,-19.8703833,-43.8990711,NA
30512080,-19.951916,-43.9976705,NA
30290070,-19.9192251,-43.8826967,NA
31810030,-19.8618672,-43.9288933,NA
31570500,-19.8063508,-43.9837701,NA
31950330,-19.8676199,-43.9016275,NA
30390410,NA,NA,Endereço não geocodificado
30881040,-19.9018952,-44.0217843,NA
30840727,-19.8989977,-43.9964202,NA
31995440,-19.8355552,-43.8895291,NA
31515440,-19.8254303,-43.9669885,NA
31110510,-19.8999981,-43.9448421,NA
31365000,NA,NA,Endereço não geocodificado
30770170,-19.9099137,-43.9681831,NA
30120060,-19.9193816,-43.937553,NA
31230600,-19.9014323,-43.9538009,NA
30720310,-19.9132204,-43.9754147,NA
31170740,-19.8782275,-43.9208762,NA
31150200,-19.8848173,-43.944413,NA
31210090,-19.9091619,-43.945769,NA
31845080,-19.8397162,-43.9084724,NA
31990520,-19.8502428,-43.8909671,NA
31230670,NA,NA,Endereço não geocodificado
31742560,-19.8304175,-43.9270042,NA
31235060,-19.8893614,-43.9544632,NA
30840720,-19.8948923,-43.9999139,NA
30280220,-19.9046048,-43.9084107,NA
30710640,-19.9161375,-43.9655986,NA
31155080,-19.8733238,-43.943273,NA
31210780,-19.9044095,-43.9454219,NA
30820020,-19.9047101,-43.989866,NA
31535497,-19.8136387,-43.9786333,NA
31250050,-19.8909074,-43.9617779,NA
31570010,-19.8096693,-43.9779203,NA
31655270,-19.7870114,-43.9803405,NA
31030350,-19.9050846,-43.9224614,NA
