serie,n_meses,modelo,phi_ar1,apc_pre,apc_pre_ic,p_pre,nivel_pct,nivel_ic,p_nivel,apc_pos,apc_pos_ic,p_pos
Completa (com Dengue),51,GLS-AR1,0.6342,12.3,[+5.8; +19.2],1e-4,-3.1,[-11.9; +6.6],0.5159,-8.32,[-19.1; +3.9],3e-4
Sem Dengue (G04),51,GLS-AR1,0.1967,2.31,[-0.2; +4.9],0.0687,10.32,[+4.9; +16.0],1e-4,-6.15,[-10.6; -1.4],1e-4
