estrato,n_cs,n_obs,irr_san,irr_inf,irr_sup,p_san,irr_ivs,p_ivs
Geral (todos os CS),153,7803,0.9678018689889059,0.9449034779950916,0.9912551698992527,0.007386172619749442,1.3213858283716964,8.816815401804521e-4
T1 — Menor densidade (≤ p33),51,2601,0.9988414912064886,0.9512751614552335,1.0487862660361835,0.9628612684773091,1.0024119026456204,0.9822088850060784
T2 — Densidade média (p33–p66),51,2601,0.9859265238008721,0.956824270313402,1.0159139358115175,0.353846937524942,1.2460171062278342,0.07315479181601349
T3 — Maior densidade (≥ p66),51,2601,0.8627712370605196,0.6619273134799006,1.124555812005395,0.27495154587980114,1.5072328778936415,0.07439455761625645
