grupo,grupo_nome,n_icsap_tot,apc_pre,apc_pre_inf,apc_pre_sup,apc_pos,apc_pos_inf,apc_pos_sup,p_pos,phi_ar1,modelo
09,"Doenças cardiovasculares (HAS, angina, IC, AVC)",35123,9.456867062636933,4.524868145846517,14.62158201865047,2.1266628756092976,-4.189390911462443,8.859085328121008,0.0932035067984255,0.17884274479363688,GLS AR(1)
10,"Doenças respiratórias (IVAS, pneumonias, bronquite, asma)",33567,-0.4586009869584906,-7.912258113306803,7.598361241881335,-5.73077266656531,-15.365640304415262,5.000938791368892,0.4288426080836408,0.1679337726490634,GLS AR(1)
13,Diabetes mellitus,12024,15.101145177650178,6.635604452007415,24.238744547737245,-11.353996429563107,-20.2608338178378,-1.4522683738849351,3.0883388979378374e-4,0.15002308618149027,GLS AR(1)
